year
6.38
7.94
8.22
7.59
8.5
7.62
6.93
6.38
8.32
7.9
7.37
7.44
7.82
7.9
7.16
6.12
7.88
7.43
7.52
7.2
7.85
7.5
7.56
6.27
6.55
6.49
6.42
6.56
7.46
7.78
7.46
7.14
6.73
7.81
8.03
7.99
8.11
6.92
7.2
7.41
8.08
7.25
7.57
7.39
7
6.78
7.43
8.36
7.29
7.85
7.35
7.45
7.75
6.77
7.73
7.14
8.28
8.55
7.13
8.04
7.24
7.59
8.23
7.87
8.51
7.48
8.43
7.12
7.52
7.28
8.51
7.77
8.03
8.24
7.83
7.52
6.85
7.07
7.57
8.73
7.69
8.48
8.18
9.12
8.56
8.92
8.59
8.22
8.2
8.15
7.61
7.72
6.61
8.06
8.08
8.73
8.12
9
7.27
6.99
8.2
7.31
8.38
8.26
7.84
7.57
7.65
7.88
7.57
7.68
8.35
8.17
8.27
8.37
7.5
8.04
7.39
8.1
8.78
8.74
7.86
7.71
8.06
8.04
8.95
9.07
9.25
8.39
9.09
8.67
10.04
8.88
7.98
9.13
9.04
8.99
9.72
9.09
9.67
9.76
8.98
8.69
9.4
9.61
9.18
9.5
8.43
10.04
9.3
8.7
10.18
10.1
9.53
9.74
